Experiment,Year,TestingDate,Species,Genotype,SpecimenID,PlotNumber,PlantNumber,PlantAge,TissueType,Operator,RootSampleNumber,Whorl.or.Internode_Number,Vertical.Specimen.Diameter,Horizontal.Specimen.Diameter,Specimen.Length,line_raw_slope_N.mm,raw_data_file,Notes
NSF-BMMB,2024,7/22/24,Maize,CML258,9,222,1,63 dap,Stalk,Irene,,,21.23,24.33,300,17.991623,Week 9 stalk bending moduli_1.csv,
NSF-BMMB,2024,8/6/24,Maize,B73,1,345,1,78 dap,Stalk,Irene,,,21.24,25.22,300,53.470097,Week 11 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/6/24,Maize,CML258,10,226,6,78 dap,Stalk,Irene,,,22.2,25.36,300,47.64688,Week 11 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/6/24,Maize,CML258,11,226,1,78 dap,Stalk,Irene,,,23.88,28.82,300,76.129791,Week 11 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/6/24,Maize,CML258,12,226,2,78 dap,Stalk,Irene,,,20.25,23.72,300,44.891973,Week 11 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/6/24,Maize,CML258,13,226,12,78 dap,Stalk,Irene,,,17.15,19.71,300,27.652785,Week 11 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/6/24,Maize,CML258,14,226,9,78 dap,Stalk,Irene,,,23.87,27.55,300,74.62225,Week 11 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/6/24,Maize,CML258,15,228,1,78 dap,Stalk,Irene,,,21.27,24.8,300,57.049699,Week 11 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/6/24,Maize,CML258,16,228,2,78 dap,Stalk,Irene,,,21.94,24.12,300,53.291074,Week 11 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/6/24,Maize,CML258,17,228,3,78 dap,Stalk,Irene,,,18.53,19.77,300,32.562865,Week 11 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/6/24,Maize,CML258,18,228,4,78 dap,Stalk,Irene,,,23.37,27.8,300,74.414115,Week 11 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/6/24,Maize,CML258,19,228,5,78 dap,Stalk,Irene,,,18.02,20.83,300,22.723341,Week 11 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/6/24,Maize,B73,2,345,6,78 dap,Stalk,Irene,,,24.38,27.71,300,56.637156,Week 11 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/6/24,Maize,CML258,20,228,6,78 dap,Stalk,Irene,,,24.12,27.58,300,82.096323,Week 11 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/6/24,Maize,CML258,21,228,7,78 dap,Stalk,Irene,,,24.93,28.28,300,75.577485,Week 11 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/6/24,Maize,CML258,22,228,10,78 dap,Stalk,Irene,,,20.32,22.47,300,47.229851,Week 11 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/6/24,Maize,CML258,23,228,11,78 dap,Stalk,Irene,,,21.8,24.92,300,63.329776,Week 11 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/10/24,Maize,Mo17,24,446,10,82 dap,Stalk,Irene,,,13.9,17.9,300,18.6970589,Week 11 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/10/24,Maize,Mo17,25,446,11,82 dap,Stalk,Irene,,,16.65,20.73,300,30.6387592,Week 11 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/10/24,Maize,Mo17,26,446,1,82 dap,Stalk,Irene,,,15.86,20.68,300,34.1625411,Week 11 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/10/24,Maize,Mo17,27,446,12,82 dap,Stalk,Irene,,,16.05,19.54,300,28.762099,Week 11 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/10/24,Maize,Mo17,28,446,4,82 dap,Stalk,Irene,,,14.8,18.36,300,22.9666555,Week 11 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/10/24,Maize,Mo17,29,446,14,82 dap,Stalk,Irene,,,15.56,20.03,300,28.413293,Week 11 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/6/24,Maize,B73,3,345,2,78 dap,Stalk,Irene,,,17.92,21.31,300,34.044116,Week 11 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/10/24,Maize,Mo17,30,446,9,82 dap,Stalk,Irene,,,15,18.66,300,24.826306,Week 11 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/10/24,Maize,Mo17,31,448,4,82 dap,Stalk,Irene,,,19.11,21.7,300,30.722849,Week 11 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/10/24,Maize,Mo17,32,448,3,82 dap,Stalk,Irene,,,19.45,25.94,300,52.766539,Week 11 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/10/24,Maize,Mo17,33,448,7,82 dap,Stalk,Irene,,,18.68,24.05,300,45.570744,Week 11 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/10/24,Maize,Mo17,34,448,1,82 dap,Stalk,Irene,,,20.53,23.6,300,49.7319231,Week 11 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/6/24,Maize,B73,4,345,3,78 dap,Stalk,Irene,,,19.31,22.75,300,42.416105,Week 11 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/6/24,Maize,B73,5,347,3,78 dap,Stalk,Irene,,,22.18,26.36,300,51.538018,Week 11 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/6/24,Maize,B73,6,347,1,78 dap,Stalk,Irene,,,23.18,26.43,300,54.70055,Week 11 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/6/24,Maize,B73,7,347,2,78 dap,Stalk,Irene,,,18.22,22.15,300,48.506383,Week 11 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/6/24,Maize,B73,8,347,4,78 dap,Stalk,Irene,,,23.02,27.84,300,55.030858,Week 11 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/6/24,Maize,B73,9,347,7,78 dap,Stalk,Irene,,,21.72,25.82,300,47.855789,Week 11 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/19/24,Maize,Mo17,1,450,3,91 dap,Stalk,Irene,,,16.21,21.91,300,34.38906,Week 13 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/19/24,Maize,B73,10,343,5,91 dap,Stalk,Irene,,,18.66,22.66,300,43.101349,Week 13 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/19/24,Maize,B73,11,343,2,91 dap,Stalk,Irene,,,21.4,25.51,300,54.990543,Week 13 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/19/24,Maize,B73,12,343,9,91 dap,Stalk,Irene,,,17.94,21.62,300,35.49178,Week 13 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/19/24,Maize,B73,13,341,3,91 dap,Stalk,Irene,,,21.98,24.92,300,52.03323,Week 13 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/19/24,Maize,B73,14,341,4,91 dap,Stalk,Irene,,,22.91,28.8,300,56.698783,Week 13 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/19/24,Maize,B73,15,341,8,91 dap,Stalk,Irene,,,21.45,26.18,300,44.777542,Week 13 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/19/24,Maize,B73,16,341,10,91 dap,Stalk,Irene,,,20.54,25.1,300,42.568544,Week 13 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/19/24,Maize,CML258,17,230,5,91 dap,Stalk,Irene,,,12.77,14.86,300,16.080899,Week 13 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/19/24,Maize,CML258,18,230,3,91 dap,Stalk,Irene,,,21.19,24.57,300,70.53516,Week 13 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/19/24,Maize,CML258,19,230,4,91 dap,Stalk,Irene,,,25.98,29.73,300,102.289101,Week 13 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/19/24,Maize,Mo17,2,450,7,91 dap,Stalk,Irene,,,16.7,21.84,300,35.386281,Week 13 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/19/24,Maize,CML258,20,232,6,91 dap,Stalk,Irene,,,23.18,26.34,300,96.700418,Week 13 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/19/24,Maize,CML258,21,232,2,91 dap,Stalk,Irene,,,13.22,14.55,300,19.139245,Week 13 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/19/24,Maize,CML258,22,232,4,91 dap,Stalk,Irene,,,23.35,28.37,300,107.56128,Week 13 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/19/24,Maize,CML258,23,232,5,91 dap,Stalk,Irene,,,22.25,25.75,300,77.365413,Week 13 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/19/24,Maize,CML258,24,232,7,91 dap,Stalk,Irene,,,21.66,26,300,74.632822,Week 13 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/19/24,Maize,CML258,25,232,8,91 dap,Stalk,Irene,,,24.77,29.28,300,106.904864,Week 13 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/19/24,Maize,CML258,26,232,9,91 dap,Stalk,Irene,,,20.5,23.83,300,71.645734,Week 13 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/22/24,Maize,CML258,27,230,2,94 dap,Stalk,Irene,,,26.72,30.76,300,112.651407,Week 13 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/22/24,Maize,CML258,28,230,6,94 dap,Stalk,Irene,,,21.09,24.75,300,83.869514,Week 13 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/22/24,Maize,Mo17,29,452,10,94 dap,Stalk,Irene,,,16.75,21.54,300,29.2203887,Week 13 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/19/24,Maize,Mo17,3,450,6,91 dap,Stalk,Irene,,,16.27,21.9,300,32.430418,Week 13 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/22/24,Maize,Mo17,30,452,6,94 dap,Stalk,Irene,,,15.34,20.1,300,27.300142,Week 13 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/22/24,Maize,Mo17,31,452,2,94 dap,Stalk,Irene,,,16.53,21.7,300,30.263728,Week 13 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/22/24,Maize,Mo17,32,452,5,94 dap,Stalk,Irene,,,16.12,21.11,300,26.220755,Week 13 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/22/24,Maize,Mo17,33,452,11,94 dap,Stalk,Irene,,,14.62,18.91,300,25.9111472,Week 13 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/22/24,Maize,Mo17,34,452,12,94 dap,Stalk,Irene,,,16.89,20.37,300,29.401569,Week 13 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/19/24,Maize,Mo17,4,450,11,91 dap,Stalk,Irene,,,15.08,19.4,300,27.320354,Week 13 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/19/24,Maize,Mo17,5,450,1,91 dap,Stalk,Irene,,,16.3,20.75,300,30.851212,Week 13 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/19/24,Maize,Mo17,6,450,13,91 dap,Stalk,Irene,,,17.86,23.26,300,36.6124,Week 13 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/19/24,Maize,Mo17,7,450,2,91 dap,Stalk,Irene,,,17.01,22.08,300,37.848227,Week 13 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/19/24,Maize,Mo17,8,450,12,91 dap,Stalk,Irene,,,16.85,21.93,300,33.523948,Week 13 Stalk bending moduli_1.csv,
NSF-BMMB,2024,8/19/24,Maize,Mo17,9,450,8,91 dap,Stalk,Irene,,,16.18,21.7,300,32.338648,Week 13 Stalk bending moduli_1.csv,
NSF-BMMB,2024,9/6/24,Maize,CML258,1,234,7,109 dap,Stalk,Irene,,,26.48,30.26,300,130.31986,Week 15 Stalk bending moduli_1.csv,
NSF-BMMB,2024,9/6/24,Maize,CML258,10,234,4,109 dap,Stalk,Irene,,,19.04,21.93,300,45.137226,Week 15 Stalk bending moduli_1.csv,
NSF-BMMB,2024,9/6/24,Maize,CML258,11,234,11,109 dap,Stalk,Irene,,,17.79,20,300,43.896396,Week 15 Stalk bending moduli_1.csv,
NSF-BMMB,2024,9/6/24,Maize,CML258,12,234,1,109 dap,Stalk,Irene,,,27.23,31.28,300,142.02601,Week 15 Stalk bending moduli_1.csv,
NSF-BMMB,2024,9/6/24,Maize,CML258,13,236,1,109 dap,Stalk,Irene,,,28.32,32.83,300,141.262251,Week 15 Stalk bending moduli_1.csv,
NSF-BMMB,2024,9/6/24,Maize,CML258,14,236,2,109 dap,Stalk,Irene,,,21.98,25.89,300,102.138567,Week 15 Stalk bending moduli_1.csv,
NSF-BMMB,2024,9/6/24,Maize,CML258,15,236,3,109 dap,Stalk,Irene,,,23.67,28.13,300,97.45396,Week 15 Stalk bending moduli_1.csv,
NSF-BMMB,2024,9/6/24,Maize,CML258,16,236,4,109 dap,Stalk,Irene,,,22.67,25.44,300,88.892807,Week 15 Stalk bending moduli_1.csv,
NSF-BMMB,2024,9/6/24,Maize,CML258,17,236,5,109 dap,Stalk,Irene,,,21.84,24.83,300,87.758917,Week 15 Stalk bending moduli_1.csv,
NSF-BMMB,2024,9/6/24,Maize,CML258,18,236,7,109 dap,Stalk,Irene,,,24.84,29.71,300,137.24436,Week 15 Stalk bending moduli_1.csv,
NSF-BMMB,2024,9/6/24,Maize,CML258,2,234,7,109 dap,Stalk,Irene,,,26.48,30.26,300,131.12846,Week 15 Stalk bending moduli_1.csv,
NSF-BMMB,2024,9/6/24,Maize,CML258,3,234,3,109 dap,Stalk,Irene,,,23.68,27.92,300,97.80394,Week 15 Stalk bending moduli_1.csv,
NSF-BMMB,2024,9/6/24,Maize,CML258,4,234,8,109 dap,Stalk,Irene,,,23.31,26.82,300,100.65356,Week 15 Stalk bending moduli_1.csv,
NSF-BMMB,2024,9/6/24,Maize,CML258,5,234,10,109 dap,Stalk,Irene,,,24.55,28.01,300,101.332672,Week 15 Stalk bending moduli_1.csv,
NSF-BMMB,2024,9/6/24,Maize,CML258,6,234,12,109 dap,Stalk,Irene,,,21.38,25.14,300,85.703672,Week 15 Stalk bending moduli_1.csv,
NSF-BMMB,2024,9/6/24,Maize,CML258,7,234,9,109 dap,Stalk,Irene,,,23.61,26.66,300,91.0366,Week 15 Stalk bending moduli_1.csv,node
NSF-BMMB,2024,9/6/24,Maize,CML258,8,234,5,109 dap,Stalk,Irene,,,22.74,26.8,300,91.93582,Week 15 Stalk bending moduli_1.csv,
NSF-BMMB,2024,9/6/24,Maize,CML258,9,234,2,109 dap,Stalk,Irene,,,21.75,24.62,300,89.866993,Week 15 Stalk bending moduli_1.csv,