Field,Grid,Pair....Rep.,ES_Plant Pair,Total...of.nodes,X..of.nodes.rotted,Stalk.rot.index,Treatment,Kernels.long,Kernels.Around,Kernel.estimate,Initial.stand.count..average.by.grid.,Yield.Estimate.Based.on.initial.stand.count..bu.acre.,Final.stand.count..average.by.grid.,Yield.Estimate.Based.on.final.stand.count..bu.acre.,Stalk.Circumference..cm.,Pair,UID
1,1,1,1,6,1,17,C,32,16,512,35.5,201.96,34,193.42,5.9,1,1-1-C-08-28-23
1,1,1,1,5,0,0,P,25,18,450,35.5,177.5,34,170,5.5,1,1-1-P-08-28-23
1,1,2,2,7,1,14,C,32,18,576,35.5,227.2,34,217.6,6.1,2,1-2-C-08-28-23
1,1,2,2,5,2,40,P,,,14,35.5,5.52,34,5.29,4.2,2,1-2-P-08-28-23
1,1,5,3,7,0,0,C,33,16,528,35.5,208.27,34,199.47,5.6,5,1-5-C-08-28-23
1,1,5,3,6,0,0,P,18,16,288,35.5,113.6,34,108.8,4.3,5,1-5-P-08-28-23
2,2,1,4,7,0,0,C,23,16,368,36,147.2,35.25,144.13,4.6,6,2-6-C-08-28-23
2,2,1,4,7,2,29,P,,,60,36,24,35.25,23.5,3.4,6,2-6-P-08-28-23
2,2,2,5,8,0,0,C,36,14,504,36,201.6,35.25,197.4,5.7,7,2-7-C-08-28-23
2,2,2,5,7,1,14,P,25,14,350,36,140,35.25,137.08,4.4,7,2-7-P-08-28-23
2,2,3,6,7,0,0,C,32,20,640,36,256,35.25,250.67,6.2,8,2-8-C-08-28-23
2,2,3,6,4,1,25,P,0,0,0,36,0,35.25,0,No ear,8,2-8-P-08-28-23
2,2,4,7,7,0,0,C,35,16,560,36,224,35.25,219.33,5.8,9,2-9-C-08-28-23
2,2,4,7,6,0,0,P,0,0,0,36,0,35.25,0,No ear,9,2-9-P-08-28-23
2,2,5,8,7,0,0,C,23,16,368,36,147.2,35.25,144.13,4.9,10,2-10-C-08-28-23
2,2,5,8,7,0,0,P,18,12,216,36,86.4,35.25,84.6,3.4,10,2-10-P-08-28-23
3,3,1,9,7,0,0,C,38,16,608,36.25,244.89,36,243.2,6.3,11,3-11-C-08-28-23
3,3,1,9,7,0,0,P,,,32,36.25,12.89,36,12.8,2.3,11,3-11-P-08-28-23
3,3,2,10,7,0,0,C,35,18,630,36.25,253.75,36,252,5.8,12,3-12-C-08-28-23
3,3,2,10,6,0,0,P,20,14,280,36.25,112.78,36,112,4.3,12,3-12-P-08-28-23
3,3,3,11,6,1,17,C,36,14,504,36.25,203,36,201.6,4.7,13,3-13-C-08-28-23
3,3,3,11,7,0,0,P,31,12,372,36.25,149.83,36,148.8,3.9,13,3-13-P-08-28-23
3,3,4,12,6,2,33,C,38,16,608,36.25,244.89,36,243.2,6.6,14,3-14-C-08-28-23
3,3,4,12,7,1,14,P,14,16,224,36.25,90.22,36,89.6,3.2,14,3-14-P-08-28-23
3,3,5,13,6,0,0,C,34,16,544,36.25,219.11,36,217.6,5.6,15,3-15-C-08-28-23
3,3,5,13,7,0,0,P,21,16,336,36.25,135.33,36,134.4,4.5,15,3-15-P-08-28-23
3,4,1,14,7,1,14,C,40,12,480,36.25,193.33,36,192,4.9,16,4-16-C-08-28-23
3,4,1,14,N,N,N,P,N,N,N,36.25,#VALUE!,36,#VALUE!,Dead,16,4-16-P-08-28-23
3,4,2,15,7,0,0,C,36,16,576,36.25,232,36,230.4,5.5,17,4-17-C-08-28-23
3,4,2,15,6,0,0,P,26,15,390,36.25,157.08,36,156,4.8,17,4-17-P-08-28-23
3,4,3,16,7,0,0,C,37,18,666,36.25,268.25,36,266.4,5.6,18,4-18-C-08-28-23
3,4,3,16,7,0,0,P,21,17,357,36.25,143.79,36,142.8,3.8,18,4-18-P-08-28-23
3,4,4,17,7,0,0,C,34,16,544,36.25,219.11,36,217.6,5.7,19,4-19-C-08-28-23
3,4,4,17,6,1,17,P,26,18,468,36.25,188.5,36,187.2,6.1,19,4-19-P-08-28-23
3,4,5,18,7,0,0,C,35,16,560,36.25,225.56,36,224,5.1,20,4-20-C-08-28-23
3,4,5,18,5,1,20,P,0,0,0,36.25,0,36,0,3.8,20,4-20-P-08-28-23
1,1,3,19,5,0,0,C,26,18,468,35.5,184.6,34,176.8,6.3,3,1-3-C-08-28-23
1,1,4,19,6,0,0,C,33,16,528,35.5,208.27,34,199.47,7,4,1-4-C-08-28-23
1,1,3,20,6,0,0,P,25,18,450,35.5,177.5,34,170,6.8,3,1-3-P-08-28-23
1,1,4,20,5,3,60,P,,,16,35.5,6.31,34,6.04,4.9,4,1-4-P-08-28-23